comuna,ica,fecha,id
comuna 4,20,2024-01-30,28163
comuna 15,37,2024-06-23,26444
comuna 14,25,2024-06-25,45379
comuna 6,44,2024-01-30,37706
comuna 4,34,2024-07-31,3149
comuna 1,59,2024-06-23,23689
comuna 11,63,2024-07-31,21955
comuna 6,17,2024-06-25,46437
comuna 8,84,2024-07-31,49681
comuna 14,25,2024-07-31,18650
comuna 13,99,2024-06-23,18936
comuna 16,38,2024-06-23,22745
comuna 13,44,2024-07-31,44091
comuna 6,83,2024-06-23,4305
comuna 2,27,2024-06-25,17931
comuna 3,82,2024-06-23,34620
comuna 15,10,2024-01-30,26612
comuna 8,64,2024-06-23,29184
comuna 11,39,2024-01-30,2509
comuna 4,31,2024-07-31,37005
comuna 8,37,2024-01-30,15649
comuna 5,29,2024-06-23,26204
comuna 11,99,2024-06-23,33331
comuna 14,58,2024-06-23,24640
comuna 4,15,2024-07-31,14149
comuna 10,10,2024-01-30,7300
comuna 15,22,2024-06-23,3123
comuna 2,91,2024-06-23,34608
comuna 2,45,2024-06-25,22311
comuna 9,35,2024-07-31,2686
comuna 5,54,2024-06-23,42230
comuna 2,47,2024-06-23,38733
comuna 9,91,2024-01-30,47594
comuna 10,97,2024-01-30,38636
comuna 3,18,2024-07-31,14261
comuna 2,95,2024-01-30,11326
comuna 9,99,2024-06-25,691
comuna 16,17,2024-06-25,29763
comuna 7,36,2024-07-31,29742
comuna 11,99,2024-06-23,14011
comuna 12,25,2024-01-30,44858
comuna 13,85,2024-06-25,44782
comuna 5,31,2024-06-25,43738
comuna 11,19,2024-01-30,4069
comuna 4,29,2024-06-23,20937
comuna 6,85,2024-06-23,12641
comuna 3,88,2024-06-23,34124
comuna 3,10,2024-06-25,8830
comuna 10,19,2024-07-31,44445
comuna 5,57,2024-06-23,16266
comuna 16,15,2024-06-23,6740
comuna 6,55,2024-01-30,44075
comuna 9,45,2024-06-25,1636
comuna 2,27,2024-07-31,11482
comuna 9,15,2024-01-30,38668
comuna 14,10,2024-01-30,15069
comuna 8,52,2024-06-25,15812
comuna 5,100,2024-07-31,30508
comuna 11,60,2024-01-30,42126
comuna 12,15,2024-01-30,24764
comuna 5,20,2024-06-23,44572
comuna 4,22,2024-06-23,15659
comuna 11,15,2024-06-25,42847
comuna 12,88,2024-06-25,4048
comuna 10,99,2024-06-23,29886
comuna 4,57,2024-07-31,27044
comuna 11,70,2024-06-25,1330
comuna 10,68,2024-06-23,8376
comuna 10,84,2024-07-31,32964
comuna 5,65,2024-06-23,40802
comuna 9,67,2024-01-30,9547
comuna 16,28,2024-01-30,21851
comuna 14,47,2024-01-30,35182
comuna 15,66,2024-06-25,29606
